sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,asphalt,brick,transition
1,1775669100240,-1292,-7231,15027,2278527,-445931,-216246,0,0,0,239,271,217,286,176,280,387,323,281,317,354,130,0,,,
2,1775669100240,1407,2086,10581,689055,-133168,-146607,0,0,0,471,558,358,455,450,485,437,274,350,263,178,452,0,,,
1,1775669100256,-756,6834,13720,1194852,412944,101403,0,0,0,248,271,222,294,171,279,420,336,276,344,372,125,0,,,
2,1775669100256,1564,1990,10930,846659,-189368,-167377,0,0,0,472,562,334,448,454,495,412,261,338,259,175,449,0,,,
1,1775669100272,-1799,5757,10887,728151,636521,410501,0,0,0,252,272,225,292,167,277,433,344,274,359,374,127,0,,,
2,1775669100272,1665,1899,11442,1034805,-357967,-186924,0,0,0,472,567,305,443,463,474,386,262,337,257,181,454,0,,,
1,1775669100288,-2842,1794,10509,946841,372627,326202,0,0,0,252,274,231,286,171,276,443,353,284,359,390,127,0,,,
2,1775669100288,1598,1852,11921,1236391,-581543,-191811,0,0,0,474,558,299,444,469,478,363,256,327,261,184,463,0,,,
1,1775669100304,-2230,1081,10820,940732,274889,100181,0,0,0,258,288,235,284,184,274,444,409,272,360,418,127,0,,,
2,1775669100304,1541,1818,12256,1484402,-759916,-206472,0,0,0,476,564,293,440,468,469,337,258,315,257,185,465,0,,,
1,1775669100320,-1497,1861,10447,646295,327423,34208,0,0,0,277,289,239,295,179,275,458,413,281,375,423,122,0,,,
2,1775669100320,1560,1679,12615,1772730,-792903,-249233,0,0,0,477,550,273,433,463,454,325,259,307,256,189,463,0,,,
1,1775669100336,-1440,1990,10246,316428,289550,43982,0,0,0,296,292,239,305,194,292,465,426,280,386,424,118,0,,,
2,1775669100336,1708,1545,13017,2080607,-796568,-309097,0,0,0,483,538,265,433,455,436,316,252,304,256,181,451,0,,,
1,1775669100352,-1579,1722,10256,112399,117286,25656,0,0,0,316,291,243,325,193,291,466,422,280,394,428,115,0,,,
2,1775669100352,1914,1450,13251,2394591,-808785,-393397,0,0,0,482,530,268,418,451,441,303,248,299,246,175,447,0,,,
1,1775669100368,-1603,1895,10126,19547,-10995,10995,0,0,0,330,291,241,342,195,288,467,402,277,404,425,120,0,,,
2,1775669100368,1909,1225,13424,2703689,-853989,-485026,0,0,0,479,517,266,409,451,434,282,239,289,238,171,428,0,,,
1,1775669100384,-1684,2067,9968,29321,-81855,6108,0,0,0,335,296,241,346,202,289,471,398,279,417,430,124,0,,,
2,1775669100384,1751,1014,13673,3005456,-922406,-563217,0,0,0,472,512,259,398,446,419,275,232,285,233,169,410,0,,,
1,1775669100400,-1794,2053,9806,36651,-109955,6108,0,0,0,333,300,247,342,199,291,482,407,294,419,443,123,0,,,
2,1775669100400,1785,784,13888,3308446,-1036027,-626747,0,0,0,467,510,261,391,442,409,269,223,278,226,161,392,0,,,
1,1775669100416,-1823,2057,9667,21991,-92851,7330,0,0,0,327,302,256,339,189,294,490,409,308,414,448,127,0,,,
2,1775669100416,2268,277,13878,3582113,-1149648,-724486,0,0,0,452,507,255,387,436,401,265,217,268,223,158,376,0,,,
1,1775669100432,-1765,2120,9605,20769,-70860,10995,0,0,0,330,302,268,344,190,299,488,406,307,427,440,144,0,,,
2,1775669100432,2747,-421,13802,3831346,-1193630,-883311,0,0,0,428,501,242,382,427,398,274,217,271,216,157,364,0,,,
1,1775669100448,-1708,2129,9605,36651,-67195,12217,0,0,0,338,301,266,350,194,303,491,405,308,444,430,159,0,,,
2,1775669100448,2967,-693,13630,4080579,-1062905,-1117883,0,0,0,405,494,242,375,422,400,282,222,275,204,151,351,0,,,
1,1775669100464,-1742,2019,9585,25656,-78190,7330,0,0,0,342,308,258,351,197,300,491,403,316,432,442,133,0,,,
2,1775669100464,2574,-612,13711,4329812,-894306,-1364672,0,0,0,384,484,243,367,418,393,278,225,259,201,153,338,0,,,
1,1775669100480,-1785,1986,9509,-10995,-72082,0,0,0,0,352,306,258,359,204,306,494,417,312,427,455,130,0,,,
2,1775669100480,1976,-909,13534,4530176,-846659,-1551597,0,0,0,365,475,233,359,402,377,286,237,247,197,152,319,0,,,
1,1775669100496,-1804,2072,9509,-51312,-50090,-8552,0,0,0,336,307,259,356,205,303,496,424,315,426,450,130,0,,,
2,1775669100496,1598,-2100,12787,4635245,-888198,-1683544,0,0,0,346,467,232,349,392,363,295,247,241,191,152,301,0,,,
1,1775669100512,-1789,2158,9600,-54977,-34208,-6108,0,0,0,345,314,267,369,193,303,501,427,298,431,461,132,0,,,
