sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,brick
1,1775671632176,-3819,-765,17520,2032959,184481,423940,0,0,0,254,286,251,308,189,347,501,501,313,395,435,145,0,
2,1775671632176,7250,1507,29590,8026769,-386066,-1744631,0,0,0,372,479,213,420,448,470,281,183,345,184,128,367,0,
1,1775671632192,-4178,760,10959,923628,226020,-61086,0,0,0,276,295,263,335,203,358,510,507,318,410,439,179,0,
2,1775671632192,7762,3230,30193,8720712,543670,-2202780,0,0,0,321,448,219,373,405,418,300,231,302,153,123,291,0,
1,1775671632208,-2636,521,9049,599869,216246,-238237,0,0,0,308,306,269,352,209,362,523,510,319,427,441,205,0,
2,1775671632208,7671,4747,28915,9042027,1418429,-2718350,0,0,0,286,429,231,341,374,387,313,265,274,128,121,224,0,
1,1775671632224,-2029,220,9992,375071,240680,-149051,0,0,0,318,313,279,360,211,368,541,507,324,421,448,217,0,
2,1775671632224,9030,7733,20894,8846550,1561371,-3381749,0,0,0,275,425,239,329,363,380,316,280,273,144,172,200,0,
1,1775671632240,-2383,746,10643,180816,232128,-20769,0,0,0,325,315,272,365,211,364,551,500,323,418,445,236,0,
2,1775671632240,9026,10787,13653,8036543,911410,-4095240,0,0,0,276,428,240,330,363,381,312,289,272,167,220,200,0,
1,1775671632256,-2311,1201,10222,196698,185703,12217,0,0,0,327,327,269,377,217,376,551,494,326,417,438,260,0,
2,1775671632256,4383,16089,10940,5589416,-244346,-3835011,0,0,0,272,430,238,331,365,380,313,291,265,155,196,195,0,
1,1775671632272,-2029,1229,10031,285884,79412,21991,0,0,0,340,327,273,378,223,383,548,478,356,424,437,280,0,
2,1775671632272,1493,20540,8772,42760,-1517389,-1375668,0,0,0,269,431,235,332,366,377,312,288,257,164,207,194,0,
1,1775671632288,-2029,1091,10160,346971,-59864,31764,0,0,0,331,346,265,375,239,381,554,462,357,419,423,310,0,
2,1775671632288,3910,16396,7997,-4558276,-2080607,929736,0,0,0,275,433,235,335,367,377,316,286,255,165,206,192,0,
1,1775671632304,-2244,1095,10184,370184,-140499,48869,0,0,0,335,340,272,379,240,393,552,440,353,421,408,314,0,
2,1775671632304,7695,7566,7470,-6436076,-1699427,1696983,0,0,0,279,436,237,339,369,378,321,290,259,167,208,192,0,
