feature,surface,count,mean,std,min,25%,50%,75%,max,anova_F
gu_press_jitter,soft,3396.0,0.007785483525924142,0.0033168138334549744,0.0022350591015615,0.004640397079698375,0.0089349438207145,0.010669712794478375,0.015652066240846,75.82
loading_rate_norm,ALL,13153.0,0.39440720783856265,0.24196237726997807,0.0,0.2316676447998673,0.3418006568622653,0.5038453835106012,2.3568046795539392,55.92
loading_rate_norm,hard,9757.0,0.3851185667851121,0.23651781005692016,0.0,0.2292065331117306,0.3347293017669986,0.4881002152758949,2.3568046795539392,55.92
loading_rate_norm,soft,3396.0,0.4210942722550869,0.2551251299728072,0.0,0.23783491698698433,0.364454547997097,0.5512385748473629,2.0427316083935696,55.92
orient_range_b,ALL,13153.0,7.222474494938049,12.34726275700345,0.3558940407600914,2.7070234855436155,4.258035636051588,6.487081552325151,83.41208774616368,47.8
orient_range_b,hard,9757.0,6.7841228359886445,12.1591251285967,0.3558940407600914,2.6678779919700872,4.151565793592283,6.0204632767244135,83.41208774616368,47.8
orient_range_b,soft,3396.0,8.481896502113946,12.79101553360196,0.6339228447237133,2.8255873200330655,4.705393506715254,8.344909934027257,79.57472780114367,47.8
gu_active_sensors,ALL,13153.0,11.935832129552194,0.3232008874779252,7.0,12.0,12.0,12.0,12.0,44.4
gu_active_sensors,hard,9757.0,11.92477195859383,0.34936576659597823,7.0,12.0,12.0,12.0,12.0,44.4
gu_active_sensors,soft,3396.0,11.967608951707891,0.2292569701806187,9.0,12.0,12.0,12.0,12.0,44.4
gu_cop_wander,ALL,13153.0,0.054125743892386405,0.02060604031748859,0.0200302516822306,0.0349765447152085,0.0461893470401905,0.0735643716600636,0.107814706794331,29.24
gu_cop_wander,hard,9757.0,0.053553136798880935,0.020078928685369438,0.0229841612929891,0.0352451057592007,0.0450483984687568,0.072619321337042,0.107814706794331,29.24
gu_cop_wander,soft,3396.0,0.05577089330679536,0.021970685172990823,0.0200302516822306,0.03377446266866142,0.06670988149391666,0.07580539211916332,0.0986310412243602,29.24
loading_rate_roll3_std,ALL,13153.0,411.9472073992679,331.0824773988362,0.0,194.0235244453482,327.06241839265795,528.2613544390235,3347.386584821388,26.33
loading_rate_roll3_std,hard,9757.0,420.6779480184509,342.2933151753102,0.0,196.4715608396058,331.9583941176501,539.5340630658379,3347.386584821388,26.33
loading_rate_roll3_std,soft,3396.0,386.86303890063164,295.1373030322351,0.0,187.34189144411198,314.3751581101037,501.53613936846114,2208.6087190714284,26.33
loading_rate,ALL,13153.0,1069.7041096907096,581.0551324558278,0.0,687.5,963.5416666666666,1317.7083333333333,6937.5,25.04
loading_rate,hard,9757.0,1084.6478136474261,603.5964507588084,0.0,687.5,975.6944444444443,1343.75,6937.5,25.04
loading_rate,soft,3396.0,1026.7695633109447,508.4312248275449,0.0,687.5,937.5,1250.0,4625.0,25.04
gu_load_slope,ALL,13153.0,0.059488802755932706,0.03030303716614218,0.0046005512935705,0.0383257737119777,0.0534325839404772,0.0749865705868815,0.3278764968598271,20.9
gu_load_slope,hard,9757.0,0.05877678216235232,0.02963280008715339,0.0046751721098066,0.0382768352373119,0.0526190526401149,0.0730906884645998,0.3278764968598271,20.9
gu_load_slope,soft,3396.0,0.06153449914331896,0.03206772458796911,0.0046005512935705,0.03845894927118997,0.05638428125546295,0.07977476091620875,0.2217721954807694,20.9
heel_kurt,ALL,13153.0,-0.7532573999246571,0.40050792962434106,-1.8484571804296064,-1.0284172138338652,-0.7591517431411208,-0.5080464653783685,2.3219070694141823,19.24
heel_kurt,hard,9757.0,-0.7622878294924813,0.38098292314396576,-1.8484571804296064,-1.01922604767067,-0.760566267523306,-0.5248940605718477,2.3219070694141823,19.24
heel_kurt,soft,3396.0,-0.7273121993082676,0.4509920852202931,-1.7774901314269416,-1.0524834113022312,-0.7557698519199809,-0.44862791464475776,1.9775359981677427,19.24
fall_slope,ALL,13153.0,-0.7767150165654075,2.7055461564263212,-108.0,-0.7966101694915254,-0.2203389830508474,0.0,0.0,16.75
fall_slope,hard,9757.0,-0.7197907259408169,2.584679257314893,-108.0,-0.7419354838709677,-0.208955223880597,0.0,0.0,16.75
fall_slope,soft,3396.0,-0.9402633980801693,3.0205147328700233,-71.0,-0.9539741847826086,-0.25158227848101267,0.0,0.0,16.75
gu_participation_ff,ALL,13153.0,0.9005528494886738,0.0780606319896078,0.3629117377214441,0.8563856758306483,0.9146520464227996,0.9644995282133508,0.9853316087293656,12.97
