step,predicted_ground_type,prob_Brick,prob_Concrete,prob_Grass,contact_time_sec,loading_rate,midstance_pressure,time_to_midstance,step_duration,stance_auc
97,Brick,0.45,0.41,0.14,111.152,1589.8437500001337,1641.0,0.0,70,3874.319999999996
98,Brick,0.445,0.375,0.18,112.256,840.625000000018,1948.0,0.0,71,3936.4080000000185
99,Brick,0.465,0.35,0.185,113.392,1306.2500000000277,1869.0,0.0,70,3858.5759999999955
100,Concrete,0.425,0.43,0.145,114.512,1812.5000000001996,1867.0,0.0,69,3840.856000000035
101,Concrete,0.405,0.42,0.175,115.616,1134.3749999999948,1833.0,0.0,70,3926.311999999999
102,Concrete,0.385,0.405,0.21,116.752,937.4999999999534,1797.0,0.0,71,3961.2080000000183
103,Brick,0.45,0.42,0.13,117.808,786.4583333333367,2070.0,0.0,67,3698.2799999999897
104,Brick,0.465,0.395,0.14,118.912,1284.0401785714566,1979.0,0.0,68,3880.3520000000103
105,Brick,0.455,0.375,0.17,120.032,1921.874999999785,1864.0,0.0,69,3863.2399999999748
106,Brick,0.43,0.37,0.2,121.152,1375.6944444444382,1672.0,0.0,72,4067.9199999999823
107,Concrete,0.365,0.405,0.23,122.272,1223.958333333468,2069.0,0.0,71,3979.487999999957
108,Brick,0.405,0.39,0.205,123.456,1304.3154761904757,1643.0,0.0,71,3983.095999999958
109,Concrete,0.365,0.375,0.26,124.576,1819.9404761903852,1720.0,0.0,71,3994.384000000018
110,Concrete,0.345,0.39,0.265,125.712,2429.6875000002674,1799.0,0.0,72,4026.9840000000445
111,Brick,0.405,0.365,0.23,126.864,1203.1250000000719,1797.0,0.0,70,3853.6239999999966
112,Brick,0.43,0.365,0.205,127.952,1237.4999999998386,2029.0,0.0,70,3864.816000000054
113,Concrete,0.39,0.425,0.185,129.088,705.3571428571043,1958.0,0.0,70,3860.2879999999413
114,Brick,0.41,0.38,0.21,130.24,1582.0312500000216,1881.0,0.0,71,3884.400000000015
115,Brick,0.425,0.36,0.215,131.36,1354.1666666670162,1874.0,0.0,71,3938.0560000000232
116,Brick,0.41,0.375,0.215,132.496,912.5000000000194,1822.0,0.0,70,3853.0000000000528
117,Brick,0.38,0.365,0.255,133.616,987.5000000000377,1873.0,0.0,71,3913.800000000025
118,Brick,0.43,0.39,0.18,134.736,1812.4999999999313,1757.0,0.0,70,3858.0320000000556
119,Brick,0.415,0.4,0.185,135.872,1806.2499999999673,1729.0,0.0,70,3874.9439999999404
120,Brick,0.43,0.355,0.215,136.976,1175.0000000004002,1976.0,0.0,71,3944.048000000014
