sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,transition,asphalt,concrete
1,1778969558416,-1095,382,9719,1131322,-103847,86742,0,0,0,586,537,391,474,410,416,606,306,426,498,384,564,0,,,
2,1778969558416,1115,1234,13735,-6416528,1310916,744033,0,0,0,365,304,260,290,227,278,366,223,261,276,316,228,0,,,
1,1778969558432,-1483,244,9772,1028697,-53756,186924,0,0,0,617,555,397,469,445,437,629,271,430,464,338,589,0,,,
2,1778969558432,1287,1124,15620,-6566801,1341460,1104444,0,0,0,365,302,266,296,230,287,370,224,266,280,320,236,0,,,
1,1778969558448,-1631,124,10251,995710,17104,329867,0,0,0,612,560,369,481,466,454,612,245,425,459,322,602,0,,,
2,1778969558448,1689,469,18348,-6718295,1441641,1155757,0,0,0,363,301,272,294,225,287,371,220,270,285,319,253,0,,,
1,1778969558464,-1134,19,10844,1126435,146607,415388,0,0,0,626,565,334,500,480,436,610,249,443,433,295,625,0,,,
2,1778969558464,1153,-2550,22033,-6884451,1610240,663399,0,0,0,361,302,276,291,219,282,356,214,270,282,309,248,0,,,
1,1778969558480,-684,-234,10949,1325577,238237,423940,0,0,0,640,574,338,501,493,443,594,227,443,441,285,639,0,,,
2,1778969558480,114,-7475,25412,-7127575,1610240,105068,0,0,0,375,301,269,302,217,272,348,218,266,286,310,237,0,,,
1,1778969558496,-574,-459,11385,1525941,202807,405614,0,0,0,643,599,327,505,498,474,584,220,442,433,277,638,0,,,
2,1778969558496,287,-17004,27121,-7296174,1352455,-111177,0,0,0,398,302,257,329,223,269,384,223,261,302,327,233,0,,,
1,1778969558512,-866,-536,12596,1859473,136833,406836,0,0,0,646,615,307,515,509,476,569,224,440,413,264,636,0,,,
2,1778969558512,875,-28882,26599,-6927211,1315803,-94073,0,0,0,408,301,253,332,214,259,397,211,246,306,318,226,0,,,
1,1778969558528,-914,-607,13151,2262644,153938,431270,0,0,0,650,615,289,517,518,477,532,225,428,393,257,640,0,,,
2,1778969558528,-660,-41354,24115,-5634620,1606575,-76969,0,0,0,389,299,245,315,218,258,375,218,243,300,318,228,0,,,
1,1778969558544,-306,-670,12821,2612059,230907,420275,0,0,0,649,612,273,518,538,489,488,223,418,380,253,642,0,,,
2,1778969558544,-4216,-49805,20387,-3877772,1709200,-184481,0,0,0,382,297,237,305,215,253,375,235,239,328,320,226,0,,,
1,1778969558560,0,-933,13084,2990796,229685,323758,0,0,0,646,621,261,519,551,492,436,224,422,369,248,634,0,,,
2,1778969558560,-7384,-53175,15831,-2047620,1202182,-189368,0,0,0,356,283,216,291,223,249,395,323,245,291,393,213,0,,,
1,1778969558576,-244,-1148,14099,3422067,169820,265115,0,0,0,643,636,268,523,543,497,366,226,435,352,243,617,0,,,
2,1778969558576,-7925,-52136,13988,-41538,389732,272445,0,0,0,358,303,246,323,246,279,476,537,286,325,584,200,0,,,
1,1778969558592,-957,-1110,15429,4026823,175929,272445,0,0,0,636,630,284,539,543,517,327,219,445,336,232,597,0,,,
2,1778969558592,-5144,-33495,17621,2301740,-651182,941954,0,0,0,345,277,199,323,231,265,490,637,242,400,655,209,0,,,
1,1778969558608,-2512,-1325,16606,4718323,280998,387288,0,0,0,625,611,266,541,534,512,343,216,443,330,222,574,0,,,
2,1778969558608,-2378,-1751,17774,3841120,-1772730,846659,0,0,0,339,280,215,291,216,280,571,700,246,482,723,222,0,,,
1,1778969558624,-3560,-2335,18176,5380501,471587,643851,0,0,0,591,591,277,525,522,513,335,222,435,317,232,529,0,,,
2,1778969558624,-2239,14400,19258,4531398,-2257757,-310319,0,0,0,367,305,296,296,222,278,604,739,223,619,761,215,0,,,
1,1778969558640,-3445,-3182,22794,6167295,714712,868650,0,0,0,554,554,276,473,486,471,329,232,410,275,210,492,0,,,
2,1778969558640,220,536,25288,4251622,-1514945,-1111774,0,0,0,378,300,336,312,215,281,627,751,216,660,771,214,0,,,
1,1778969558656,-4374,-2828,29049,7015176,789237,1022588,0,0,0,508,508,273,413,438,417,340,233,390,261,215,466,0,,,
2,1778969558656,3115,-8671,24292,2506990,-849102,-678060,0,0,0,391,299,363,314,207,285,640,748,226,671,781,227,0,,,
1,1778969558672,-4953,-1655,34472,7924143,590095,1219287,0,0,0,467,467,257,362,388,372,354,232,381,258,242,406,0,,,
2,1778969558672,674,-1627,14285,1158200,-509461,-62308,0,0,0,396,317,388,305,249,302,668,745,255,692,791,244,0,,,
1,1778969558688,-4623,909,38851,8676729,211359,1423316,0,0,0,448,380,298,317,295,350,406,252,373,275,301,372,0,,,
2,1778969558688,-713,2775,8461,691499,-68416,21991,0,0,0,410,344,392,310,248,311,680,744,256,696,793,252,0,,,
1,1778969558704,-5733,8437,37214,8780576,397062,1591914,0,0,0,446,392,310,312,299,354,415,255,378,281,323,352,0,,,
2,1778969558704,516,2110,8772,613308,295658,-120951,0,0,0,403,367,391,313,234,314,677,744,255,681,789,262,0,,,
1,1778969558720,-8346,18248,26388,6773273,1464854,1373225,0,0,0,443,399,302,316,308,349,414,262,375,285,330,345,0,,,
2,1778969558720,1373,775,10576,403171,259006,-87964,0,0,0,399,366,396,319,233,313,681,733,271,677,783,259,0,,,
1,1778969558736,-8671,20612,20966,1913229,1700648,59864,0,0,0,433,391,305,319,309,347,423,258,370,295,326,344,0,,,
2,1778969558736,1249,1072,10796,296880,230907,-40317,0,0,0,404,354,397,323,230,315,685,716,280,666,776,264,0,,,
1,1778969558752,-6561,17554,18296,-1877799,1538158,-1328021,0,0,0,436,389,311,317,301,342,431,256,370,308,327,342,0,,,
2,1778969558752,1072,1952,10160,381179,255341,-43982,0,0,0,398,345,400,323,236,328,684,693,280,636,763,275,0,,,
1,1778969558768,-5422,12553,14300,-3127630,1356120,-2067167,0,0,0,438,392,313,317,303,343,429,259,376,309,329,343,0,,,
2,1778969558768,1229,1966,9868,526565,197920,-84299,0,0,0,399,338,399,331,242,338,667,657,277,597,740,275,0,,,
1,1778969558784,-5111,9887,10734,-3109304,502131,-1753183,0,0,0,433,393,308,322,310,347,427,259,379,307,332,342,0,,,
2,1778969558784,1249,1765,9830,642630,84299,-109955,0,0,0,406,348,391,337,244,340,636,617,276,556,721,291,0,,,
1,1778969558800,-2761,8097,9944,-3674965,-240680,-1192408,0,0,0,428,395,307,321,308,344,432,258,379,310,335,337,0,,,
2,1778969558800,1129,1713,9839,729373,18325,-120951,0,0,0,404,379,392,339,277,353,630,586,298,531,699,309,0,,,
1,1778969558816,-617,6015,10524,-4674340,-142942,-610865,0,0,0,427,400,318,313,303,338,433,255,377,314,335,336,0,,,
2,1778969558816,1115,1660,9815,831998,2443,-133168,0,0,0,405,388,369,342,283,354,613,554,293,492,654,315,0,,,
1,1778969558832,-1043,3718,10940,-5575977,304210,8552,0,0,0,423,402,320,310,308,336,424,253,373,317,335,334,0,,,
2,1778969558832,1110,1450,9786,919963,-7330,-142942,0,0,0,383,412,369,365,311,378,604,536,275,476,603,337,0,,,
1,1778969558848,-2211,1679,11093,-6151412,114842,669508,0,0,0,423,403,316,313,312,338,429,258,377,311,334,331,0,,,
2,1778969558848,1062,1196,9672,973719,-10995,-150272,0,0,0,416,402,366,374,321,391,592,474,315,485,546,368,0,,,
1,1778969558864,-2191,23,11500,-6454402,-437379,1089783,0,0,0,420,401,310,316,313,346,436,259,382,318,337,341,0,,,
2,1778969558864,1062,1019,9542,974940,-8552,-156381,0,0,0,421,374,401,411,312,410,603,450,309,478,517,363,0,,,
1,1778969558880,-1775,-909,12443,-6498384,-788016,817337,0,0,0,427,400,308,321,315,344,437,258,380,324,337,333,0,,,
2,1778969558880,1139,799,9490,944397,-6108,-171042,0,0,0,437,399,374,408,365,436,581,418,362,446,499,364,0,,,
1,1778969558896,-2234,-1560,13491,-6635218,-999375,127059,0,0,0,425,398,313,321,315,352,444,258,385,327,337,345,0,,,
2,1778969558896,1287,574,9509,891863,-2443,-196698,0,0,0,462,439,387,450,365,445,603,326,349,416,436,374,0,,,
1,1778969558912,-3292,-2144,14333,-6809925,-1257160,-786794,0,0,0,425,398,306,338,312,349,450,257,381,331,337,337,0,,,
2,1778969558912,1526,363,9662,849102,1221,-245567,0,0,0,488,481,392,505,411,467,630,259,393,424,392,422,0,,,
1,1778969558928,-4139,-2703,15582,-6757391,-1604132,-1704314,0,0,0,419,408,308,316,323,362,441,262,389,319,343,344,0,,,
2,1778969558928,1718,325,10021,844215,6108,-328645,0,0,0,517,494,373,516,464,496,595,231,411,412,353,433,0,,,
1,1778969558944,-4570,-3431,17654,-6642548,-1865582,-2367713,0,0,0,417,409,303,318,321,367,445,266,394,313,344,344,0,,,
2,1778969558944,1885,402,10547,949284,-21991,-420275,0,0,0,565,527,370,549,554,537,586,202,435,410,332,476,0,,,
1,1778969558960,-4761,-5532,20674,-6697526,-1986533,-2702467,0,0,0,416,406,297,336,319,382,446,256,384,317,337,341,0,,,
2,1778969558960,1861,315,11490,1202182,-109955,-516791,0,0,0,574,565,333,564,580,553,588,188,458,388,303,513,0,,,
1,1778969558976,-4934,-10930,22770,-6951646,-1943773,-2538755,0,0,0,420,402,294,351,315,389,454,245,378,331,322,346,0,,,
2,1778969558976,1689,-47,12495,1633453,-217468,-588874,0,0,0,584,580,315,588,600,559,542,174,475,377,284,534,0,,,
1,1778969558992,-4426,-18473,23235,-7015176,-2015855,-2074498,0,0,0,426,404,292,352,315,380,460,243,379,336,314,339,0,,,
2,1778969558992,1182,-258,13065,2117258,-157603,-614530,0,0,0,622,566,298,593,629,556,509,191,488,367,281,557,0,,,
1,1778969559008,-2230,-28241,22455,-6588792,-2222327,-1340238,0,0,0,421,409,292,351,321,372,448,259,380,326,318,337,0,,,
2,1778969559008,478,-76,13979,2659707,-47647,-564439,0,0,0,661,574,286,584,649,559,496,203,482,366,274,585,0,,,
1,1778969559024,358,-37736,20090,-5380501,-2028072,-427605,0,0,0,419,405,294,358,320,371,446,271,383,326,320,345,0,,,
2,1778969559024,636,110,15013,3326772,-35430,-453262,0,0,0,681,610,297,590,648,570,457,190,465,357,261,611,0,,,
1,1778969559040,2110,-44331,17056,-3987728,-1627344,605978,0,0,0,425,380,275,354,290,359,472,290,380,360,337,336,0,,,
2,1778969559040,1454,-4,15716,4069584,-73303,-400727,0,0,0,692,609,304,596,625,583,407,198,463,317,249,617,0,,,
1,1778969559056,4513,-46561,13500,-2400700,-1003040,1543045,0,0,0,425,337,236,337,247,341,501,404,357,415,423,309,0,,,
2,1778969559056,2100,-358,16343,4856378,-107512,-463035,0,0,0,686,585,324,593,623,608,335,186,455,309,229,580,0,,,
1,1778969559072,8016,-47996,14395,-384845,401949,1517389,0,0,0,430,316,236,335,239,339,547,547,347,470,516,285,0,,,
2,1778969559072,2756,-373,17492,5809328,-135612,-623082,0,0,0,627,560,345,546,608,584,239,127,423,301,201,515,0,,,
1,1778969559088,8662,-37764,16506,2569299,3066543,759916,0,0,0,426,318,222,330,250,329,596,596,335,535,574,248,0,,,
2,1778969559088,3374,-780,20095,6714630,-135612,-839328,0,0,0,545,538,309,521,569,539,225,105,409,262,169,445,0,,,
1,1778969559104,3062,-7748,19171,3997502,4269948,-24434,0,0,0,423,296,236,336,206,325,665,665,357,620,643,237,0,,,
2,1778969559104,3670,-1962,25881,7508755,-249233,-1022588,0,0,0,463,506,274,491,475,452,236,116,344,264,175,364,0,,,
1,1778969559120,-100,8241,22703,3071430,3083647,-189368,0,0,0,427,305,297,339,214,341,676,676,357,661,670,245,0,,,
2,1778969559120,5010,-3230,33170,8025547,-323758,-1089783,0,0,0,425,372,232,342,303,323,255,168,278,259,207,263,0,,,
1,1778969559136,1229,2948,22900,2246762,1662775,34208,0,0,0,443,331,381,343,241,371,691,691,378,688,688,271,0,,,
2,1778969559136,4709,-1694,38305,8313875,8552,-1165530,0,0,0,352,267,213,272,186,250,347,173,241,308,236,218,0,,,
1,1778969559152,2316,-1584,17319,1855808,889419,101403,0,0,0,444,366,432,342,272,363,711,711,365,704,704,290,0,,,
2,1778969559152,5072,5317,36022,8256454,201585,-1209513,0,0,0,348,288,239,288,218,278,318,203,265,271,287,235,0,,,
1,1778969559168,1502,-181,11825,1458746,265115,128281,0,0,0,458,402,459,348,293,377,680,701,410,712,712,311,0,,,
2,1778969559168,8293,16372,25953,6800151,207694,-1528384,0,0,0,353,291,231,286,229,267,337,206,242,271,267,215,0,,,
1,1778969559184,-138,1904,10887,1094670,-65973,140499,0,0,0,467,418,472,363,311,379,711,719,386,715,715,339,0,,,
2,1778969559184,7446,24182,21569,2928487,-162490,-1640784,0,0,0,362,295,239,295,230,262,350,206,238,285,273,217,0,,,
1,1778969559200,-641,1459,11543,785572,-268780,76969,0,0,0,479,436,484,377,320,379,728,728,365,713,713,375,0,,,
2,1778969559200,4819,21076,19258,-1247386,-1582140,-873537,0,0,0,360,304,238,278,226,263,329,203,244,279,285,231,0,,,
1,1778969559216,-540,1258,11265,649960,-393397,10995,0,0,0,484,445,487,384,332,381,720,716,372,705,705,401,0,,,
2,1778969559216,6422,15142,13060,-3121521,-2342057,-237015,0,0,0,350,298,242,274,226,273,337,223,252,281,267,243,0,,,
1,1778969559232,-464,1828,10725,720820,-453262,-13439,0,0,0,490,453,484,385,348,384,710,693,381,693,693,418,0,,,
2,1778969559232,7987,12189,8389,-3121521,-1279151,-186924,0,0,0,349,321,238,275,250,266,342,236,244,280,270,234,0,,,
1,1778969559248,-679,2120,10662,888198,-459370,-1221,0,0,0,498,462,485,404,360,392,701,662,397,675,667,429,0,,,
2,1778969559248,4608,11428,9169,-3621209,-111177,-169820,0,0,0,351,309,244,273,243,264,341,238,240,285,284,243,0,,,
1,1778969559264,-832,1780,10543,993266,-411723,12217,0,0,0,506,467,488,427,373,405,688,620,414,656,631,432,0,,,
2,1778969559264,1933,9026,10562,-4614476,-79412,65973,0,0,0,354,293,258,279,228,277,348,234,250,297,286,258,0,,,
1,1778969559280,-866,1488,10366,1037249,-339641,26878,0,0,0,516,480,479,433,391,414,671,577,409,637,601,444,0,,,
2,1778969559280,3019,5704,10198,-5314527,-389732,124616,0,0,0,351,295,266,283,229,289,346,232,254,294,289,265,0,,,
1,1778969559296,-789,1387,10217,1062905,-268780,45204,0,0,0,523,505,452,438,410,407,650,541,398,610,576,477,0,,,
2,1778969559296,3728,3565,10074,-5650503,142942,-233350,0,0,0,346,297,259,279,234,288,339,233,250,279,294,256,0,,,
1,1778969559312,-732,1287,10174,1115439,-228463,51312,0,0,0,529,524,434,437,418,406,648,468,414,583,542,490,0,,,
2,1778969559312,2598,2531,11136,-5921727,657290,-530231,0,0,0,349,297,255,278,236,282,342,232,253,271,289,245,0,,,
1,1778969559328,-751,1110,10160,1166752,-199142,43982,0,0,0,544,533,427,444,413,410,637,416,407,554,496,501,0,,,
2,1778969559328,1445,1995,12529,-6196616,785572,-525344,0,0,0,355,297,265,282,237,281,339,226,252,269,280,252,0,,,
1,1778969559344,-861,827,10040,1133765,-168598,36651,0,0,0,546,533,405,472,418,414,629,361,417,535,445,542,0,,,
2,1778969559344,1794,1158,13452,-6454402,829554,-174707,0,0,0,353,300,253,284,236,276,338,221,242,275,275,246,0,,,
1,1778969559360,-1095,531,9911,1067792,-135612,67195,0,0,0,572,525,387,490,427,414,621,336,417,535,394,554,0,,,
