sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,compact ground
1,1778968590528,-502,-966,14883,2344500,-50090,274889,0,0,0,717,706,308,574,624,504,493,232,434,377,275,665,0,
2,1778968590528,-1258,2100,15893,-6681643,1207069,1083674,0,0,0,343,346,283,280,239,300,333,227,246,271,314,253,0,
1,1778968590544,-1354,-899,15960,3043330,51312,296880,0,0,0,716,700,282,564,596,495,426,244,429,373,254,657,0,
2,1778968590544,-813,1062,17506,-6800151,1164309,1385442,0,0,0,342,347,280,277,238,300,329,229,246,269,312,243,0,
1,1778968590560,-1507,-961,15817,3871663,235793,398284,0,0,0,701,692,276,548,593,499,355,237,443,334,235,639,0,
2,1778968590560,-196,-57,19602,-6829473,1131322,1419650,0,0,0,345,341,285,282,237,307,316,223,245,270,306,241,0,
1,1778968590576,-1445,-890,15778,4616919,337197,499687,0,0,0,686,684,278,547,600,499,305,232,445,306,231,612,0,
2,1778968590576,-464,-2144,22742,-6805038,1219287,1006705,0,0,0,349,342,286,280,234,302,319,226,254,275,307,242,0,
1,1778968590592,-1292,-1172,17310,5294979,483805,565661,0,0,0,657,657,271,529,587,504,286,230,456,281,219,576,0,
2,1778968590592,-2005,-5843,26824,-6944316,1126435,455705,0,0,0,353,347,292,276,231,299,318,216,252,274,307,252,0,
1,1778968590608,-2498,-2091,20646,6050009,761138,621860,0,0,0,610,610,268,486,549,480,286,226,457,256,205,526,0,
2,1778968590608,-2699,-12165,29877,-7149566,861319,249233,0,0,0,351,337,308,276,239,313,313,213,272,282,314,272,0,
1,1778968590624,-5618,-2775,25288,6842912,1036027,792903,0,0,0,551,551,261,435,496,423,294,221,431,249,198,481,0,
2,1778968590624,-1670,-23661,30447,-6980967,587652,274889,0,0,0,356,332,288,284,229,303,334,215,272,317,302,266,0,
1,1778968590640,-7958,-3220,29447,7597941,1164309,1160643,0,0,0,487,480,242,382,424,378,325,214,393,259,204,444,0,
2,1778968590640,-684,-36970,27173,-5832541,571769,-57421,0,0,0,348,348,301,278,237,312,326,215,274,320,313,279,0,
1,1778968590656,-7954,-2043,32586,8238128,693942,1676214,0,0,0,448,414,271,331,334,347,370,214,359,264,239,389,0,
2,1778968590656,-1751,-45738,22091,-4331034,645073,-521678,0,0,0,341,343,300,280,241,312,321,217,266,304,318,270,0,
1,1778968590672,-7360,3168,33787,8576547,339641,2178345,0,0,0,465,380,321,301,251,337,396,244,359,255,267,367,0,
2,1778968590672,-5374,-49825,15515,-2200336,577878,-640186,0,0,0,344,344,304,284,242,315,325,218,265,297,317,264,0,
1,1778968590688,-8083,14859,25264,7103140,1501506,2244318,0,0,0,471,379,305,308,259,339,389,237,363,271,274,365,0,
2,1778968590688,-5929,-49097,12696,-246789,277332,177150,0,0,0,332,316,296,266,224,299,319,323,258,281,404,255,0,
1,1778968590704,-10303,20631,18444,3381749,2452013,1274264,0,0,0,453,371,294,323,265,336,421,240,356,287,287,357,0,
2,1778968590704,-4575,-41684,15218,1563815,12217,901637,0,0,0,333,291,249,271,208,274,368,478,237,315,548,231,0,
1,1778968590720,-9389,17817,16300,-1481959,1848478,-598647,0,0,0,441,395,304,309,266,336,419,260,357,288,290,363,0,
2,1778968590720,-1694,-10461,19023,3271794,-816115,1170417,0,0,0,345,284,221,285,212,262,417,571,213,382,622,210,0,
1,1778968590736,-6398,12184,12974,-2922379,1474628,-1665218,0,0,0,452,392,305,309,264,333,418,255,358,289,301,365,0,
2,1778968590736,-622,14836,13898,3958406,-1591914,668286,0,0,0,351,279,222,296,211,292,446,624,210,464,664,218,0,
1,1778968590752,-5829,9581,9308,-2978578,1235169,-1993864,0,0,0,444,387,307,303,263,333,422,256,357,292,310,368,0,
2,1778968590752,-2349,8470,12725,4797735,-1342681,-114842,0,0,0,363,275,257,310,194,331,510,666,227,532,698,239,0,
1,1778968590768,-4982,8978,7695,-3219259,493579,-1955990,0,0,0,451,390,308,305,266,337,417,253,357,297,320,367,0,
2,1778968590768,-2885,-6412,20301,4867374,-327423,-615752,0,0,0,367,294,287,307,208,331,572,683,246,571,712,236,0,
1,1778968590784,-2957,7485,8308,-4118453,100181,-1886351,0,0,0,448,395,302,314,274,337,418,259,357,293,316,367,0,
2,1778968590784,492,-5326,23182,3393967,-23212,-739146,0,0,0,355,317,302,293,236,323,593,693,257,602,726,239,0,
1,1778968590800,-2349,5001,8676,-4940678,100181,-1571145,0,0,0,440,395,299,310,277,342,420,262,359,289,314,376,0,
2,1778968590800,2699,-981,18411,1907121,-157603,-456927,0,0,0,367,315,349,305,230,324,616,699,250,619,732,265,0,
1,1778968590816,-3096,2914,8604,-5349957,-53756,-912632,0,0,0,440,394,302,300,272,345,425,261,361,288,314,381,0,
2,1778968590816,1383,1105,11787,1114218,-169820,-62308,0,0,0,393,342,359,335,249,314,621,683,221,627,737,258,0,
1,1778968590832,-2818,1847,9179,-5572312,-559552,-233350,0,0,0,438,408,302,294,277,344,429,261,363,288,317,383,0,
2,1778968590832,224,717,9542,853989,105068,-23212,0,0,0,381,371,369,331,262,332,633,679,232,626,747,266,0,
1,1778968590848,-1976,1325,10547,-5810550,-957836,144164,0,0,0,431,409,300,295,283,345,429,261,364,288,320,385,0,
2,1778968590848,1052,57,10227,640186,190589,-73303,0,0,0,407,341,386,350,242,335,636,677,239,619,740,272,0,
1,1778968590864,-1378,899,12390,-6100100,-1099557,39095,0,0,0,433,386,301,300,277,347,428,259,366,287,316,381,0,
2,1778968590864,1450,330,10600,398284,0,-35430,0,0,0,396,342,386,331,247,329,636,674,258,601,738,284,0,
1,1778968590880,-1588,-9,13711,-6312681,-1152091,-367740,0,0,0,436,385,296,299,268,340,425,261,365,285,312,365,0,
2,1778968590880,1028,804,10294,272445,-131946,-1221,0,0,0,400,339,374,341,249,334,623,645,242,568,724,268,0,
1,1778968590896,-2086,-971,14874,-6393315,-1221730,-857654,0,0,0,442,381,296,300,264,336,426,261,368,282,311,344,0,
2,1778968590896,670,1052,10007,316428,-114842,-9773,0,0,0,433,354,369,348,257,334,622,629,257,544,708,270,0,
1,1778968590912,-2914,-1483,16314,-6357885,-1309695,-1325577,0,0,0,436,386,296,305,269,338,429,261,378,287,314,334,0,
2,1778968590912,665,1100,9935,447153,-54977,-40317,0,0,0,432,345,380,362,263,347,607,604,269,526,699,269,0,
1,1778968590928,-4058,-2234,19109,-6410419,-1491732,-1618792,0,0,0,429,390,290,301,269,331,417,254,369,292,320,339,0,
2,1778968590928,670,1129,9901,572991,-10995,-63529,0,0,0,436,371,390,352,271,349,593,583,269,525,682,278,0,
1,1778968590944,-4747,-4685,22163,-6539923,-1681101,-1577254,0,0,0,434,398,301,308,273,334,422,247,373,300,315,330,0,
2,1778968590944,660,1148,9868,663399,12217,-72082,0,0,0,443,373,387,357,277,353,575,561,277,499,665,283,0,
1,1778968590960,-4450,-10117,24584,-6602231,-1904677,-1242499,0,0,0,433,402,292,312,281,340,426,244,374,307,315,330,0,
2,1778968590960,756,880,9801,728151,12217,-79412,0,0,0,444,373,387,362,273,358,563,543,277,486,641,287,0,
1,1778968590976,-1612,-18827,25092,-6346889,-2266310,-828333,0,0,0,435,412,286,324,304,337,443,253,379,308,306,334,0,
2,1778968590976,909,512,9667,719599,-18325,-90408,0,0,0,426,399,399,364,287,365,572,538,282,510,609,286,0,
1,1778968590992,2301,-27920,24249,-5797111,-2277305,-458148,0,0,0,434,404,286,329,294,340,450,252,376,310,301,333,0,
2,1778968590992,981,315,9461,631634,-91629,-98960,0,0,0,413,410,402,368,296,372,576,517,286,506,596,288,0,
1,1778968591008,5039,-36247,21799,-4850269,-1600466,116064,0,0,0,434,405,290,329,295,342,452,266,375,304,324,333,0,
2,1778968591008,914,301,9394,555887,-163711,-108734,0,0,0,420,412,401,386,300,376,565,480,281,487,582,291,0,
1,1778968591024,5403,-40732,16879,-3472158,-577878,944397,0,0,0,435,396,294,333,284,348,455,257,370,310,316,334,0,
2,1778968591024,818,382,9581,541226,-215024,-128281,0,0,0,433,432,404,416,326,385,560,443,271,489,561,291,0,
1,1778968591040,5312,-42258,11797,-1902234,-24434,1251052,0,0,0,431,395,275,326,271,347,462,295,369,342,372,334,0,
2,1778968591040,904,354,9868,605978,-235793,-156381,0,0,0,451,467,417,431,360,410,557,402,273,494,549,314,0,
1,1778968591056,5307,-41923,11007,-202807,-52534,507018,0,0,0,436,348,252,312,232,333,497,443,350,423,489,309,0,
2,1778968591056,981,100,10035,680503,-240680,-179594,0,0,0,472,501,443,425,388,450,539,359,309,482,521,364,0,
1,1778968591072,5264,-34778,14113,1891238,488692,-456927,0,0,0,440,302,236,302,195,315,548,571,331,490,568,292,0,
2,1778968591072,885,-148,10155,751364,-248011,-195476,0,0,0,492,492,427,438,418,464,545,313,345,445,497,383,0,
1,1778968591088,3417,-10614,15797,3714060,1772730,-1064127,0,0,0,434,311,226,296,188,309,588,625,331,530,616,292,0,
2,1778968591088,832,-95,10375,823446,-273667,-210137,0,0,0,561,526,419,457,443,472,527,266,339,441,471,420,0,
1,1778968591104,2134,11217,16716,3941302,2720793,-779464,0,0,0,429,316,254,304,192,325,628,665,340,596,661,281,0,
2,1778968591104,1062,-28,10658,928515,-302989,-257785,0,0,0,559,578,460,472,536,500,511,262,393,405,447,494,0,
1,1778968591120,2340,4302,20531,3501479,2375044,262672,0,0,0,427,310,327,320,209,346,672,691,356,656,686,281,0,
2,1778968591120,1325,-181,11069,1105666,-307876,-365297,0,0,0,623,579,419,533,568,532,468,234,385,412,414,511,0,
1,1778968591136,670,-4517,22895,2733011,1385442,623082,0,0,0,434,356,402,323,237,360,680,693,358,670,695,306,0,
2,1778968591136,1119,-416,11926,1384220,-280998,-469144,0,0,0,639,614,343,527,611,544,435,241,365,354,390,533,0,
