time_utc,lat,lon,ele,elapsed_s,total_pressure,total_pressure_R,total_pressure_L,p_norm
2026-04-24 19:10:06+00:00,42.33728377148509,-71.09119489789009,3.0,58.0,3517.0,4015.0,3019.0,0.08233220069095915
2026-04-24 19:10:07+00:00,42.33730338513851,-71.09119162894785,3.0,59.0,3561.0,4092.0,3030.0,0.14488818118486715
2026-04-24 19:10:08+00:00,42.33732341788709,-71.09118425287306,3.0,60.0,3637.0,4281.0,2993.0,0.25293942021979915
2026-04-24 19:10:09+00:00,42.337339678779244,-71.09117629006505,3.200000047683716,61.0,3597.0,3515.0,3679.0,0.19607034704351914
2026-04-24 19:10:10+00:00,42.33735468238592,-71.09116254374385,3.200000047683716,62.0,3568.5,2778.0,4359.0,0.15555113240541965
2026-04-24 19:10:11+00:00,42.3373749665916,-71.09115273691714,3.200000047683716,63.0,3536.0,2729.0,4343.0,0.10934501044969215
2026-04-24 19:10:12+00:00,42.33739089220762,-71.09113647602499,3.200000047683716,64.0,3492.0,2760.0,4224.0,0.046789029955784156
2026-04-24 19:10:13+00:00,42.33740656636655,-71.09111367724836,3.200000047683716,65.0,3457.0,2683.0,4231.0,0.0
2026-04-24 19:10:14+00:00,42.3374214861542,-71.09108668752015,3.4000000953674316,66.0,3723.5,3726.0,3721.0,0.3759187909635046
2026-04-24 19:10:15+00:00,42.3374436981976,-71.09105517156422,3.4000000953674316,67.0,3602.5,4110.0,3095.0,0.20388984460525764
2026-04-24 19:10:16+00:00,42.33746155165136,-71.09105743467808,3.4000000953674316,68.0,3548.5,4050.0,3047.0,0.12711659581727963
2026-04-24 19:10:17+00:00,42.33747764490545,-71.09105282463133,3.4000000953674316,69.0,3615.0,4186.0,3044.0,0.22166142997284513
2026-04-24 19:10:18+00:00,42.33749323524535,-71.0910408385098,3.5999999046325684,70.0,3590.0,4166.0,3014.0,0.18611825923767014
2026-04-24 19:10:19+00:00,42.33751008287072,-71.09103069640696,3.5999999046325684,71.0,3727.0,3388.0,4066.0,0.3808948348664291
2026-04-24 19:10:20+00:00,42.337526343762875,-71.0910215601325,3.5999999046325684,72.0,3633.0,2796.0,4470.0,0.24725251290217112
2026-04-24 19:10:21+00:00,42.33754168264568,-71.09100982546806,3.5999999046325684,73.0,3486.0,2729.0,4243.0,0.03825866897934216
2026-04-24 19:10:22+00:00,42.33755651861429,-71.09100689180195,3.5999999046325684,74.0,3466.5,2742.0,4191.0,0.010534995805905662
2026-04-24 19:10:23+00:00,42.33757026493549,-71.09100705944002,3.5999999046325684,75.0,3502.5,2750.0,4255.0,0.06171716166455765
2026-04-24 19:10:24+00:00,42.3375803232193,-71.09101275913417,3.5999999046325684,76.0,3807.5,3941.0,3674.0,0.4953438446336926
2026-04-24 19:10:25+00:00,42.33759758993983,-71.09101418405771,3.799999952316284,77.0,3597.5,4089.0,3106.0,0.19678121045822264
2026-04-24 19:10:26+00:00,42.33761938288808,-71.09100957401097,3.799999952316284,78.0,3530.0,3995.0,3065.0,0.10081464947325015
2026-04-24 19:10:27+00:00,42.33764335513115,-71.09101175330579,3.799999952316284,79.0,3639.0,4231.0,3047.0,0.25578287387861315
2026-04-24 19:10:28+00:00,42.337666070088744,-71.09101108275354,3.799999952316284,80.0,3485.5,3913.0,3058.0,0.03754780556463866
2026-04-24 19:10:29+00:00,42.33768526464701,-71.091014938429,3.799999952316284,81.0,3625.5,2821.0,4430.0,0.23658956168161863
2026-04-24 19:10:30+00:00,42.33770169317722,-71.09101787209511,3.799999952316284,82.0,3558.0,2779.0,4337.0,0.14062300069664616
2026-04-24 19:10:31+00:00,42.33771904371679,-71.09102776274085,3.799999952316284,83.0,3474.5,2777.0,4172.0,0.02190881044116166
2026-04-24 19:10:32+00:00,42.3377391602844,-71.09104595147073,3.799999952316284,84.0,3538.0,2689.0,4387.0,0.11218846410850615
2026-04-24 19:10:33+00:00,42.337770257145166,-71.09104729257524,3.799999952316284,85.0,3771.0,4015.0,3527.0,0.4434508153603371
2026-04-24 19:10:34+00:00,42.3377891164273,-71.09107562340796,3.799999952316284,86.0,3631.5,4166.0,3097.0,0.24511992265806062
2026-04-24 19:10:35+00:00,42.33777486719191,-71.09109984710813,3.799999952316284,87.0,3622.5,4218.0,3027.0,0.23232438119339763
2026-04-24 19:10:36+00:00,42.33777042478323,-71.09113538637757,3.799999952316284,88.0,3631.5,4237.0,3026.0,0.24511992265806062
2026-04-24 19:10:37+00:00,42.33776296488941,-71.09115784987807,3.799999952316284,89.0,3734.5,3231.0,4238.0,0.3915577860869816
2026-04-24 19:10:38+00:00,42.337769670411944,-71.09117092564702,3.799999952316284,90.0,3590.5,2792.0,4389.0,0.18682912265237364
2026-04-24 19:10:39+00:00,42.33777344226837,-71.09117637388408,3.799999952316284,91.0,3427.5,2747.0,4108.0,0.0
