step,ground_type,predicted_ground_type,contact_time_sec,midstance_time_sec,loading_rate,midstance_pressure
81,Concrete,Concrete,102.096,102.096,1562.5000000001721,2329.0
73,Brick,Brick,102.704,102.704,1289.583333333271,2257.0
82,Concrete,Concrete,103.184,103.184,1096.7261904761583,2342.0
74,Brick,Brick,103.808,103.808,1406.2500000000555,2182.0
83,Concrete,Concrete,104.272,104.272,1768.7500000000377,2345.0
75,Brick,Brick,104.928,104.928,824.2187499999161,2251.0
84,Concrete,Concrete,105.36,105.36,959.3750000000097,2301.0
76,Brick,Brick,106.048,106.048,1668.7500000000355,2226.0
85,Concrete,Concrete,106.48,106.48,1215.9090909091647,2295.0
77,Brick,Brick,107.152,107.152,946.0227272727219,2265.0
86,Concrete,Concrete,107.568,107.568,1653.645833333203,2164.0
78,Brick,Brick,108.272,108.272,1167.1401515152647,2221.0
87,Concrete,Concrete,108.672,108.672,1104.1666666666965,2344.0
79,Brick,Brick,109.392,109.392,1363.095238095161,2230.0
88,Concrete,Concrete,109.808,109.808,1322.9166666668125,2402.0
80,Brick,Brick,110.496,110.496,1263.3928571428605,2324.0
89,Concrete,Concrete,111.136,111.136,1170.5729166666433,2055.0
81,Brick,Brick,111.6,111.6,1146.8749999997967,2479.0
82,Brick,Brick,112.752,112.752,1424.107142857105,2279.0
91,Concrete,Concrete,119.464,119.464,1723.958333333333,2064.0
84,Brick,Brick,120.616,120.616,1843.750000000039,2053.0
92,Concrete,Concrete,120.664,120.664,1269.5312499999693,2206.0
85,Brick,Brick,121.784,121.784,1210.0694444445548,2190.0
93,Concrete,Concrete,121.8,121.8,1925.0000000001687,2278.0
94,Concrete,Concrete,122.904,122.904,1515.6249999999427,2257.0
86,Brick,Brick,122.952,122.952,1750.0000000000373,2133.0
95,Concrete,Concrete,124.04,124.04,1740.6250000000912,2237.0
87,Brick,Brick,124.072,124.072,1163.5416666666465,2195.0
96,Concrete,Concrete,125.128,125.128,1113.5416666666454,2199.0
88,Brick,Brick,125.192,125.192,1553.571428571228,2141.0
97,Concrete,Concrete,126.264,126.264,1941.6666666666538,2149.0
89,Brick,Brick,126.28,126.28,1173.3630952380922,2272.0
90,Brick,Brick,127.384,127.384,1713.5416666666592,2089.0
98,Concrete,Concrete,127.4,127.4,1169.791666666762,2049.0
91,Brick,Brick,128.456,128.456,1265.6249999990555,2331.0
99,Concrete,Concrete,128.52,128.52,1178.1249999998997,2284.0
92,Brick,Brick,129.592,129.592,1375.0000000002717,2220.0
100,Concrete,Concrete,129.64,129.64,1460.4166666665285,2398.0
101,Concrete,Concrete,130.728,130.728,986.1111111109258,2413.0
93,Brick,Brick,130.728,130.728,1781.2500000003542,2340.0
94,Brick,Brick,131.864,131.864,1575.0000000003133,2276.0
102,Concrete,Concrete,131.88,131.88,1506.2499999998313,2255.0
103,Concrete,Concrete,133.0,133.0,1531.2499999997606,2131.0
95,Brick,Brick,133.0,133.0,1580.208333333198,2285.0
104,Concrete,Concrete,134.104,134.104,1625.0000000003233,2331.0
96,Brick,Brick,134.136,134.136,1144.3452380952483,2197.0
105,Concrete,Concrete,135.208,135.208,1120.5357142857665,2445.0
97,Brick,Brick,135.288,135.288,1464.5833333334717,2115.0
106,Concrete,Concrete,136.328,136.328,1368.7500000003038,2306.0
98,Brick,Brick,136.408,136.408,1122.5649350648205,2217.0
107,Concrete,Concrete,137.432,137.432,1999.9999999996874,2157.0
